,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,27.129,"[0, 0]",27.129,"[27.129, 27.129]","[27.129, 27.129]","[27.129, 27.129]",27.229
beta/eta,118.261,"[0, 0]",118.261,"[118.261, 118.261]","[118.261, 118.261]","[118.261, 118.261]",118.671
xc^2/epsilon,5.487,"[0, 0]",5.487,"[5.487, 5.487]","[5.487, 5.487]","[5.487, 5.487]",5.54
xc,10.635,"[0, 0]",10.635,"[10.635, 10.635]","[10.635, 10.635]","[10.635, 10.635]",10.723
eta,0.409,"[0, 0]",0.409,"[0.409, 0.409]","[0.409, 0.409]","[0.409, 0.409]",0.394
beta,48.519,"[0, 0]",48.519,"[48.519, 48.519]","[48.519, 48.519]","[48.519, 48.519]",46.732
epsilon,21.117,"[0, 0]",21.117,"[21.117, 21.117]","[21.117, 21.117]","[21.117, 21.117]",20.756
sqrt(xc/eta),5.209,"[0, 0]",5.209,"[5.209, 5.209]","[5.209, 5.209]","[5.209, 5.209]",5.218
s= eta^0.5*xc^1.5/epsilon,1.069,"[0, 0]",1.069,"[1.069, 1.069]","[1.069, 1.069]","[1.069, 1.069]",1.062
beta*xc/epsilon,24.039,"[0, 0]",24.039,"[24.039, 24.039]","[24.039, 24.039]","[24.039, 24.039]",24.143
eta*xc/epsilon,0.204,"[0, 0]",0.204,"[0.204, 0.204]","[0.204, 0.204]","[0.204, 0.204]",0.203
Fx=beta^2/eta*xc,518.909,"[0, 0]",518.909,"[518.909, 518.909]","[518.909, 518.909]","[518.909, 518.909]",517.194
Dx =beta*epsilon/eta*xc^2,21.841,"[0, 0]",21.841,"[21.841, 21.841]","[21.841, 21.841]","[21.841, 21.841]",21.422
Pk=beta*k/epsilon,1.114,"[0, 0]",1.114,"[1.114, 1.114]","[1.114, 1.114]","[1.114, 1.114]",1.126
Fk=beta^2/eta*k,11517.865,"[0, 0]",11517.865,"[11517.865, 11517.865]","[11517.865, 11517.865]","[11517.865, 11517.865]",11091.506
Dk =beta*epsilon/eta*k^2,9830.626,"[0, 0]",9830.626,"[9830.626, 9830.626]","[9830.626, 9830.626]","[9830.626, 9830.626]",9852.359
Fk^2/Dk=beta^3/eta*epsilon,12232.187,"[0, 0]",12232.187,"[12232.187, 12232.187]","[12232.187, 12232.187]","[12232.187, 12232.187]",12486.503
best fit_MedianLifetime,89.12,0.5100000000000051,89.12,"[88.63000000000001, 89.63000000000001]","[88.63000000000001, 89.63000000000001]","[88.63000000000001, 89.63000000000001]",89.12
best fit_MaxLifetime,100.0,0,100.0,"[100.0, 100.0]","[100.0, 100.0]","[100.0, 100.0]",100.0
data_MedianLifetime,80.0,0.519999999999996,80.0,"[79.49, 80.52]","[79.49, 80.52]","[79.49, 80.52]",80.0
data_MaxLifetime,85,0,85,"[85, 85]","[85, 85]","[85, 85]",85
