,t,counts
0,31.0,1000.0
1,31.0,1000.0
2,30.0,1000.0
3,34.0,1000.0
4,35.0,1000.0
5,35.0,1000.0
6,35.0,1000.0
7,35.0,1000.0
8,35.0,1000.0
9,35.0,1000.0
10,35.0,1000.0
11,35.0,1000.0
12,35.0,1000.0
13,35.0,1000.0
14,35.0,1000.0
15,35.0,1000.0
16,35.0,1000.0
17,35.0,1000.0
18,35.0,1000.0
19,35.0,1000.0
20,35.0,1000.0
21,35.0,1000.0
22,35.0,1000.0
23,35.0,1000.0
24,36.0,1000.0
25,36.0,1000.0
26,37.0,1000.0
27,37.0,1000.0
28,38.0,1000.0
29,38.0,1000.0
30,38.0,1000.0
31,39.0,1000.0
32,40.0,1000.0
33,40.0,1000.0
34,40.0,1000.0
35,40.0,1000.0
36,40.0,1000.0
37,40.0,1000.0
38,40.0,1000.0
39,40.0,1000.0
40,40.0,1000.0
41,41.0,1000.0
42,41.0,1000.0
43,41.0,1000.0
44,41.0,1000.0
45,41.0,1000.0
46,41.0,1000.0
47,41.0,1000.0
48,41.0,1000.0
49,42.0,1000.0
50,42.0,1000.0
51,42.0,1000.0
52,42.0,1000.0
53,42.0,1000.0
54,42.0,1000.0
55,42.0,1000.0
56,42.0,1000.0
57,42.0,1000.0
58,42.0,1000.0
59,42.0,1000.0
60,42.0,1000.0
61,42.0,1000.0
62,42.0,1000.0
63,43.0,1000.0
64,43.0,1000.0
65,43.0,1000.0
66,43.0,1000.0
67,43.0,1000.0
68,43.0,1000.0
69,43.0,1000.0
70,43.0,1000.0
71,43.0,1000.0
72,43.0,1000.0
73,43.0,1000.0
74,43.0,1000.0
75,43.0,1000.0
76,43.0,1000.0
77,43.0,1000.0
78,44.0,1000.0
79,44.0,1000.0
80,44.0,1000.0
81,44.0,1000.0
82,44.0,1000.0
83,44.0,1000.0
84,44.0,1000.0
85,44.0,1000.0
86,44.0,1000.0
87,44.0,1000.0
88,44.0,1000.0
89,44.0,1000.0
90,44.0,1000.0
91,44.0,1000.0
92,44.0,1000.0
93,44.0,1000.0
94,44.0,1000.0
95,44.0,1000.0
96,44.0,1000.0
97,44.0,1000.0
98,44.0,1000.0
99,44.0,1000.0
100,44.0,1000.0
101,44.0,1000.0
102,44.0,1000.0
103,44.0,1000.0
104,44.0,1000.0
105,44.0,1000.0
106,44.0,1000.0
107,44.0,1000.0
108,45.0,1000.0
109,45.0,1000.0
110,45.0,1000.0
111,45.0,1000.0
112,45.0,1000.0
113,45.0,1000.0
114,45.0,1000.0
115,45.0,1000.0
116,45.0,1000.0
117,45.0,1000.0
118,45.0,1000.0
119,45.0,1000.0
120,45.0,1000.0
121,45.0,1000.0
122,45.0,1000.0
123,45.0,1000.0
124,45.0,1000.0
125,45.0,1000.0
126,45.0,1000.0
127,45.0,1000.0
128,45.0,1000.0
129,45.0,1000.0
130,45.0,1000.0
131,45.0,1000.0
132,45.0,1000.0
133,45.0,1000.0
134,45.0,1000.0
135,45.0,1000.0
136,45.0,1000.0
137,45.0,1000.0
138,45.0,1000.0
139,45.0,1000.0
140,45.0,1000.0
141,45.0,1000.0
142,45.0,1000.0
143,45.0,1000.0
144,45.0,1000.0
145,45.0,1000.0
146,45.0,1000.0
147,45.0,1000.0
148,45.0,1000.0
149,45.0,1000.0
