,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,9.897,"[0.182, 0.179]",9.517,"[9.517, 9.517]","[9.517, 9.517]","[9.517, 9.73]",9.986
beta/eta,0.0393,"[0.0093, 0.00752]",0.0371,"[0.0371, 0.0371]","[0.0371, 0.0371]","[0.0266, 0.245]",0.0374
xc^2/epsilon,40.877,"[0.124, 0.124]",40.865,"[40.865, 40.865]","[40.865, 40.865]","[39.62, 40.865]",41.377
xc,32.763,"[11.49, 8.507]",870.485,"[870.485, 870.485]","[870.485, 870.485]","[870.485, 870.485]",33.845
ExtH,11.594,"[0.247, 0.242]",10.115,"[10.115, 10.115]","[10.115, 10.115]","[10.083, 10.115]",11.646
eta,3.249,"[1.15, 0.85]",1.567,"[1.567, 1.567]","[1.567, 1.567]","[1.567, 1.703]",3.389
beta,0.138,"[0.0503, 0.0369]",3.527,"[3.527, 3.527]","[3.527, 3.527]","[3.527, 3.949]",0.127
epsilon,28.014,"[23.19, 12.687]",29.266,"[29.266, 29.266]","[29.266, 29.266]","[24.965, 29.266]",27.684
sqrt(xc/eta),3.146,"[0.0288, 0.0285]",3.085,"[3.085, 3.085]","[3.085, 3.085]","[3.085, 3.119]",3.16
s= eta^0.5*xc^1.5/epsilon,13.093,"[0.123, 0.122]",13.065,"[13.065, 13.065]","[13.065, 13.065]","[13.065, 13.337]",13.094
beta*xc/epsilon,0.161,"[0.0419, 0.0332]",1.079,"[1.079, 1.079]","[1.079, 1.079]","[1.02, 1.079]",0.155
eta*xc/epsilon,4.162,"[0.0792, 0.0777]",4.099,"[4.099, 4.099]","[4.099, 4.099]","[4.099, 4.14]",4.144
Fx=beta^2/eta*xc,0.000153,"[8.53e-05, 5.48e-05]",0.00616,"[0.00616, 0.00616]","[0.00616, 0.00616]","[0.00545, 0.00697]",0.00014
Dx =beta*epsilon/eta*xc^2,0.000963,"[0.000215, 0.000176]",0.00091,"[0.00091, 0.00091]","[0.00091, 0.00091]","[0.00091, 0.00091]",0.000903
Pk=beta*k/epsilon,0.00259,"[0.00132, 0.000875]",0.00271,"[0.00271, 0.00271]","[0.00271, 0.00271]","[0.00186, 0.00958]",0.00229
Fk=beta^2/eta*k,0.0113,"[0.00607, 0.00395]",0.28,"[0.28, 0.28]","[0.28, 0.28]","[0.239, 0.28]",0.00946
Dk =beta*epsilon/eta*k^2,4.145,"[3.187, 1.802]",4.843,"[4.843, 4.843]","[4.843, 4.843]","[4.06, 5.776]",4.137
Fk^2/Dk=beta^3/eta*epsilon,2.55e-05,"[2.3e-05, 1.21e-05]",0.00784,"[0.00784, 0.00784]","[0.00784, 0.00784]","[0.00656, 0.00938]",2.16e-05
best fit_MedianLifetime,3.93,0.5100000000000002,3.93,"[3.4400000000000004, 4.44]","[3.4400000000000004, 4.44]","[3.4400000000000004, 4.44]",3.93
best fit_MaxLifetime,7.77,0,7.77,"[7.77, 7.77]","[7.77, 7.77]","[7.77, 7.77]",7.77
data_MedianLifetime,3.0,0.2400000000000002,3.0,"[2.78, 3.24]","[2.78, 3.24]","[2.78, 3.24]",3.0
data_MaxLifetime,9.0,0,9.0,"[9.0, 9.0]","[9.0, 9.0]","[9.0, 9.0]",9.0
