log,unique_samples,lnprobs_density,posterior,dthetas,evidence,config_params,help_text,prior_lnprobs,prior_unique_samples,prior_posterior,prior_dthetas,prior
"[True, True, True, True, True]","[0.13114885456499975, 5.460003853193621, -1.8780423716135604, 0.4548408227812384, 1.923215182957085]",-86980.72642550243,-303.2421376245038,"[0.05460771280502599, 0.013564180618701904, 0.059824208534881684, 0.0702687563934088, 0.0031524339315345262]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[0.6772259826152596, 5.120899337726083, -1.5190971204042703, 2.703441027370318, 1.9200627490255502]",-86806.51034647225,-129.02605859431787,"[0.054607712805026076, 0.013564180618701016, 0.059824208534881684, 0.0702687563934088, 0.0031524339315345262]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1140876850554675, 4.917436628445561, -0.8610308265205715, 3.1953223221241798, 1.9043005793678782]",-87052.15909897561,-374.67481109767687,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881684, 0.07026875639340835, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1140876850554675, 4.944564989682963, -0.9208550350554532, 3.265591078517588, 1.9043005793678782]",-86789.3239772651,-111.83968938716862,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881795, 0.0702687563934088, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1140876850554675, 4.958129170301666, -0.9208550350554532, 3.265591078517588, 1.9043005793678782]",-86762.567445678,-85.08315780006524,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881795, 0.0702687563934088, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1686953978604935, 4.931000809064262, -0.8610308265205715, 3.1953223221241798, 1.9043005793678782]",-86824.69951835099,-147.21523047305527,"[0.054607712805025965, 0.013564180618701016, 0.059824208534881684, 0.07026875639340835, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1686953978604935, 4.944564989682963, -0.9208550350554532, 3.265591078517588, 1.9043005793678782]",-86778.54981591801,-101.06552804008243,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881795, 0.0702687563934088, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1686953978604935, 5.0395142540138735, -0.9208550350554532, 2.281828489009866, 1.8979957115048094]",-86990.33534103991,-312.85105316198315,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881795, 0.0702687563934088, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.1686953978604935, 5.053078434632576, -0.9208550350554532, 2.281828489009866, 1.8979957115048094]",-86937.9718024095,-260.48751453157456,"[0.054607712805025965, 0.013564180618701904, 0.059824208534881795, 0.0702687563934088, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
"[True, True, True, True, True]","[1.2233031106655194, 4.944564989682963, -0.8610308265205715, 3.1953223221241798, 1.9043005793678782]",-86778.9853989085,-101.50111103056406,"[0.05460771280502619, 0.013564180618701904, 0.059824208534881684, 0.07026875639340835, 0.003152433931534304]",-86695.92354409701,"{'h5_file_name': 'Denmark1900_homo', 'folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo', 'nsteps': 5000, 'time_step_multiplier': 38, 'npeople': 20000, 't_end': 110, 'n_jobs': '500', 'nwalkers': 10, 'n_mcmc_steps': 1000, 'job_name': 'Denmark1900MHom', 'initial_memory': '1', 'max_memory': '1', 'name': 'Denmark_M_1900_homo', 'run_file_mcmc': 'baysian01/humans/run_mcmc_hetro.csh', 'metric': 'baysian', 'data_file': 'baysian01/datasets/HUMANS/Denmark_male_1900.csv', 'seed_file': 'baysian01/seeds/HUMANS/Humans_M.csv', 'variations': [[0.1, 10], [0.1, 10], [0.1, 10], [0.1, 10], [0.8, 1.2]], 'prior': [5, 5, 5, 5, [0.7, 1.3]], 'transform': True, 'time_range': [40, 110], 'external_hazard': '5.82189056313653', 'mcmc': 'True', 'queue': 'long', 'results_csv_file_name': 'Denmark_M_1900_homo.csv', 'index': '1', 'hetro': False, 'submission_folder': 'baysian01/simulation_results/HUMAN/Denmark_M_1900_homo/Denmark_M_1900_homo_submit_21_01_2025'}",run from baysian01,0.0,,,,False
