,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,44.087,"[19.026, 13.291]",44.723,"[43.662, 48.065]","[39.662, 52.913]","[32.728, 94.173]",39.957,39.957
beta/eta,137.501,"[15.795, 14.167]",135.814,"[134.758, 136.877]","[132.672, 141.215]","[117.106, 147.981]",138.129,138.129
xc^2/epsilon,3.44,"[1.639, 1.11]",3.427,"[3.168, 3.519]","[3.005, 4.576]","[2.435, 8.159]",3.113,3.113
xc,29.377,"[21.555, 12.432]",34.059,"[30.695, 35.26]","[26.721, 43.412]","[12.464, 53.448]",36.435,36.435
eta,0.465,"[0.237, 0.157]",0.47,"[0.42, 0.524]","[0.391, 0.758]","[0.27, 1.018]",0.912,0.311
beta,63.393,"[30.847, 20.75]",129.657,"[125.487, 133.965]","[69.676, 133.965]","[36.239, 133.965]",125.952,41.882
epsilon,132.125,"[155.975, 71.532]",300.42,"[242.308, 322.737]","[102.548, 372.468]","[37.605, 496.099]",426.497,66.568
sqrt(xc/eta),6.463,"[1.162, 0.985]",6.85,"[6.608, 6.933]","[6.451, 7.101]","[5.86, 9.94]",6.321,6.321
s= eta^0.5*xc^1.5/epsilon,0.504,"[0.103, 0.0857]",0.536,"[0.528, 0.559]","[0.513, 0.627]","[0.458, 0.884]",0.492,0.492
beta*xc/epsilon,10.88,"[0.611, 0.579]",10.676,"[10.613, 10.739]","[10.488, 10.996]","[9.654, 11.529]",10.76,10.76
eta*xc/epsilon,0.0785,"[0.00296, 0.00285]",0.0782,"[0.0774, 0.0785]","[0.0757, 0.0791]","[0.0741, 0.0838]",0.0779,0.0779
Fx=beta^2/eta*xc,437.728,"[370.128, 200.55]",388.159,"[373.111, 437.044]","[318.53, 473.008]","[133.466, 760.205]",477.504,477.504
Dx =beta*epsilon/eta*xc^2,39.977,"[28.157, 16.521]",33.253,"[32.14, 36.828]","[28.048, 39.423]","[13.263, 72.756]",44.378,44.378
Pk=beta*k/epsilon,0.216,"[0.167, 0.0942]",0.165,"[0.158, 0.185]","[0.146, 0.254]","[0.106, 0.48]",0.148,0.148
Fk=beta^2/eta*k,26533.636,"[14011.023, 9169.232]",31255.984,"[28284.049, 34540.193]","[18965.978, 34540.193]","[9743.118, 36919.217]",34795.45,34795.45
Dk =beta*epsilon/eta*k^2,124674.296,"[155178.412, 69131.935]",74300.998,"[60792.184, 79440.801]","[53180.18, 177268.363]","[23832.093, 346035.707]",235647.041,235647.041
Fk^2/Dk=beta^3/eta*epsilon,5319.592,"[5143.357, 2614.995]",4049.82,"[3871.467, 4635.71]","[3233.217, 5072.671]","[1313.504, 10427.964]",5137.868,5137.868
beta^2/epsilon,32.778,"[17.393, 11.363]",30.275,"[29.168, 31.424]","[27.075, 36.472]","[12.855, 89.156]",37.196,26.351
k/beta,0.0082,"[0.00451, 0.00291]",0.0117,"[0.0106, 0.0121]","[0.00817, 0.0138]","[0.00373, 0.0138]",0.00397,0.0119
k/epsilon,0.00464,"[0.00555, 0.00253]",0.00805,"[0.00749, 0.00998]","[0.00422, 0.00998]","[0.00101, 0.0153]",0.00117,0.00751
best fit_MedianLifetime,67.87,0.5100000000000051,67.87,"[67.38000000000001, 68.38000000000001]","[67.38000000000001, 68.38000000000001]","[67.38000000000001, 68.38000000000001]",67.87,
best fit_MaxLifetime,118.37,0,118.37,"[118.37, 118.37]","[118.37, 118.37]","[118.37, 118.37]",118.37,
data_MedianLifetime,68.09,0.5100000000000051,68.09,"[67.60000000000001, 68.60000000000001]","[67.60000000000001, 68.60000000000001]","[67.60000000000001, 68.60000000000001]",68.09,
data_MaxLifetime,137.66,0,137.66,"[137.66, 137.66]","[137.66, 137.66]","[137.66, 137.66]",137.66,
