,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,3.912,"[1.366, 1.012]",4.606,"[4.469, 4.747]","[4.469, 5.042]","[3.962, 5.356]",4.954
beta/eta,112.458,"[2.931, 2.857]",110.286,"[109.801, 110.773]","[109.801, 110.773]","[108.838, 111.753]",109.938
xc^2/epsilon,0.875,"[0.203, 0.165]",0.83,"[0.809, 0.852]","[0.769, 0.897]","[0.769, 1.101]",1.037
xc,35.237,"[41.234, 19.0]",52.796,"[51.19, 54.452]","[51.19, 57.922]","[42.53, 57.922]",65.181
ExtH,6.708,"[0.0205, 0.0205]",6.681,"[6.67, 6.692]","[6.67, 6.713]","[6.649, 6.734]",6.733
eta,9.033,"[5.945, 3.585]",12.465,"[12.086, 12.856]","[11.362, 12.856]","[10.681, 13.675]",13.157
beta,1009.853,"[553.89, 357.698]",1324.654,"[1285.164, 1365.358]","[1285.164, 1450.556]","[1209.679, 1739.398]",1446.407
epsilon,1559.102,"[4230.752, 1139.264]",2804.541,"[2619.885, 3002.213]","[2286.245, 3002.213]","[258.567, 3942.397]",4096.74
sqrt(xc/eta),1.981,"[0.31, 0.268]",2.146,"[2.114, 2.179]","[2.114, 2.245]","[1.99, 2.314]",2.226
s= eta^0.5*xc^1.5/epsilon,0.436,"[0.0332, 0.0308]",0.461,"[0.454, 0.468]","[0.44, 0.468]","[0.427, 0.482]",0.466
beta*xc/epsilon,24.936,"[2.329, 2.13]",24.034,"[23.665, 24.408]","[23.665, 24.408]","[22.945, 25.174]",23.013
eta*xc/epsilon,0.241,"[0.0108, 0.0103]",0.222,"[0.219, 0.224]","[0.214, 0.23]","[0.214, 0.241]",0.209
Fx=beta^2/eta*xc,4524.109,"[1215.659, 958.188]",2941.086,"[2838.863, 3046.989]","[2644.954, 3270.372]","[2139.139, 3510.133]",2439.613
Dx =beta*epsilon/eta*xc^2,163.884,"[31.756, 26.602]",145.071,"[141.112, 149.142]","[133.514, 149.142]","[95.787, 157.629]",106.011
Pk=beta*k/epsilon,0.344,"[0.453, 0.195]",0.218,"[0.208, 0.228]","[0.208, 0.25]","[0.19, 0.274]",0.177
Fk=beta^2/eta*k,233553.706,"[129123.021, 83151.627]",415645.061,"[403179.947, 428495.558]","[356947.316, 428495.558]","[279778.616, 428495.558]",318031.183
Dk =beta*epsilon/eta*k^2,665703.453,"[1664757.378, 475543.172]",1168907.145,"[1095268.258, 1247497.043]","[1095268.258, 1247497.043]","[119866.302, 1618369.076]",1801554.676
Fk^2/Dk=beta^3/eta*epsilon,79792.509,"[43281.845, 28060.818]",57634.261,"[55158.599, 60221.037]","[55158.599, 60221.037]","[50521.732, 65748.103]",56142.528
best fit_MedianLifetime,78.91,0.5100000000000051,78.91,"[78.42, 79.42]","[78.42, 79.42]","[78.42, 79.42]",78.91
best fit_MaxLifetime,109.1,0,109.1,"[109.1, 109.1]","[109.1, 109.1]","[109.1, 109.1]",109.1
data_MedianLifetime,75.0,0.5100000000000051,75.0,"[74.51, 75.51]","[74.51, 75.51]","[74.51, 75.51]",75.0
data_MaxLifetime,106.0,0,106.0,"[106.0, 106.0]","[106.0, 106.0]","[106.0, 106.0]",106.0
