,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,9.077,"[0.0719, 0.0713]",10.13,"[10.13, 10.13]","[10.13, 10.698]","[9.591, 11.299]",9.234
beta/eta,134.792,"[0.283, 0.282]",122.6,"[122.6, 122.6]","[122.6, 124.274]","[117.711, 125.971]",135.622
xc^2/epsilon,1.168,"[0.0148, 0.0147]",1.399,"[1.399, 1.399]","[1.399, 1.399]","[1.317, 1.485]",1.17
xc,13.031,"[0.84, 0.789]",30.148,"[30.148, 30.148]","[28.103, 30.148]","[12.093, 99.554]",13.399
ExtH,7.127,"[0.0271, 0.027]",7.129,"[7.129, 7.129]","[7.129, 7.152]","[6.779, 7.334]",7.131
eta,1.48,"[0.25, 0.214]",2.439,"[2.439, 2.662]","[2.235, 4.5]","[2.048, 12.858]",1.451
beta,194.873,"[34.191, 29.087]",206.263,"[206.263, 206.263]","[206.263, 206.263]","[189.773, 224.186]",196.794
epsilon,157.583,"[56.275, 41.467]",175.449,"[175.449, 175.449]","[175.449, 175.449]","[109.49, 4759.575]",153.402
sqrt(xc/eta),3.013,"[0.00683, 0.00682]",3.183,"[3.183, 3.183]","[3.183, 3.271]","[3.097, 3.361]",3.039
s= eta^0.5*xc^1.5/epsilon,0.385,"[0.00631, 0.00621]",0.405,"[0.405, 0.405]","[0.392, 0.405]","[0.38, 0.419]",0.385
beta*xc/epsilon,17.23,"[0.038, 0.0379]",16.992,"[16.992, 16.992]","[16.992, 17.232]","[15.619, 17.232]",17.189
eta*xc/epsilon,0.127,"[0.00107, 0.00106]",0.126,"[0.126, 0.126]","[0.126, 0.127]","[0.125, 0.128]",0.127
Fx=beta^2/eta*xc,2068.33,"[15.521, 15.405]",1205.825,"[1205.825, 1205.825]","[1205.825, 1302.455]","[759.298, 1406.829]",1991.874
Dx =beta*epsilon/eta*xc^2,112.953,"[0.756, 0.751]",85.13,"[85.13, 85.13]","[85.13, 91.364]","[73.91, 112.939]",115.879
Pk=beta*k/epsilon,0.643,"[0.0329, 0.0313]",0.281,"[0.281, 0.281]","[0.281, 0.281]","[0.0805, 0.391]",0.641
Fk=beta^2/eta*k,54352.652,"[2644.576, 2521.872]",54185.143,"[54185.143, 54185.143]","[54185.143, 58715.937]","[39298.603, 249183.899]",53378.965
Dk =beta*epsilon/eta*k^2,83744.962,"[9516.463, 8545.396]",86715.224,"[86715.224, 86715.224]","[86715.224, 86715.224]","[86715.224, 101013.618]",83218.566
Fk^2/Dk=beta^3/eta*epsilon,35389.256,"[92.688, 92.446]",10937.148,"[10937.148, 10937.148]","[10937.148, 11894.076]","[8504.02, 18091.049]",34238.921
best fit_MedianLifetime,74.53,0.5100000000000051,74.53,"[74.04, 75.04]","[74.04, 75.04]","[74.04, 75.04]",74.53
best fit_MaxLifetime,107.8,0,107.8,"[107.8, 107.8]","[107.8, 107.8]","[107.8, 107.8]",107.8
data_MedianLifetime,70.0,0.5100000000000051,70.0,"[69.5, 70.51]","[69.5, 70.51]","[69.5, 70.51]",70.0
data_MaxLifetime,104.0,0,104.0,"[104.0, 104.0]","[104.0, 104.0]","[104.0, 104.0]",104.0
